blind_id,content_intelligibility_1to5,scenario_delivery_1to5,audio_naturalness_1to5,short_observation
P01,5,1,5,there was no deliverey no emotions
P02,3,1,2,missing word and slurring
P03,5,2,5,just breathing and stops as delivery
P04,1,1,1,it was syntactic but not metalic
P05,3,3,2,this was the first metalic sounding
P06,4,3,5,its sluring a little
P07,4,3,3,there was one strong artifact
P08,5,1,5,too calm no impetions or so
P09,3,1,3,its kinda syntetic but not sure
P10,5,2,5,there was just stops and breathing as delivery
P11,5,4,1,this had lots of artifacts and was very metallic
P12,4,1,2,weird stoping prononciation and slurring
P13,5,2,5,it sounded disapointed as delivery
P14,5,2,5,the delivery was not ther just the "bitte" sounded a little convincing
P15,3,3,5, kinda lisping
P16,3,1,3,sluring and weird prononciation
P17,4,3,5,there was a little firm
P18,2,1,2,artifacts and missing words and sluring
